variable,coefficient,OR,IC95_bas,IC95_haut,p_value,significatif
"C(categorie_etiologique, Treatment(reference='Genetique'))[T.Immune]",1.2159236768108588,3.373408564969173,0.6063339918281896,18.768344674022455,0.16495713513359034,False
"C(categorie_etiologique, Treatment(reference='Genetique'))[T.Inconnue]",0.0369213848045453,1.0376114456050705,0.4909771289653421,2.192846567658844,0.9229582784958466,False
"C(categorie_etiologique, Treatment(reference='Genetique'))[T.Infectieuse]",0.399021885163294,1.4903662351589164,0.35269961790878146,6.297686195612008,0.58735989831233,False
"C(categorie_etiologique, Treatment(reference='Genetique'))[T.Metabolique]",-0.009293553824852216,0.9907494977758153,0.30222151349902204,3.247897728982178,0.9877597039212144,False
"C(categorie_etiologique, Treatment(reference='Genetique'))[T.Structurelle]",0.3600532264207726,1.4334057075852498,0.6541068388804855,3.141156460089212,0.36838666683593724,False
C(developpement_psychomoteur_avant_crises)[T.Retard],0.14984503536616134,1.1616542134597225,0.6187121811338819,2.1810472668821173,0.6410684150275183,False
age_debut_crises_mois,-0.00469988404644219,0.9953111431263411,0.9896467127100099,1.0010079949831008,0.10653099444409118,False
frequence_normalisee_mois,0.009583970825461776,1.0096300441446733,0.9914059245640496,1.0281891612538168,0.3024281099947802,False
