variable,coefficient,OR,IC95_bas,IC95_haut,p_value,significatif
"C(categorie_etiologique, Treatment(reference='Structurelle'))[T.Genetique]",-0.3600532264207726,0.6976391922455956,0.3183540879627495,1.5288022392664729,0.36838666683593735,False
"C(categorie_etiologique, Treatment(reference='Structurelle'))[T.Immune]",0.8558704503900859,2.353422026379467,0.42598566415182537,13.001834804173194,0.3263820536730846,False
"C(categorie_etiologique, Treatment(reference='Structurelle'))[T.Inconnue]",-0.32313184161622727,0.7238784107767061,0.3508534522167897,1.4935009197653097,0.38187162381770334,False
"C(categorie_etiologique, Treatment(reference='Structurelle'))[T.Infectieuse]",0.03896865874252155,1.039737896446376,0.24888140240547643,4.343654780382043,0.9573972374632187,False
"C(categorie_etiologique, Treatment(reference='Structurelle'))[T.Metabolique]",-0.3693467802456247,0.6911856793460495,0.21388950900224404,2.2335721165643876,0.5371240091978371,False
C(developpement_psychomoteur_avant_crises)[T.Retard],0.1498450353661615,1.1616542134597228,0.6187121811338822,2.1810472668821177,0.6410684150275179,False
age_debut_crises_mois,-0.004699884046442187,0.9953111431263411,0.9896467127100099,1.0010079949831008,0.1065309944440913,False
frequence_normalisee_mois,0.009583970825461781,1.0096300441446733,0.9914059245640496,1.0281891612538168,0.30242810999477965,False
