chapter,code,title,classKind,parent_code,uri,definition
02,2B5A.1,Sarcome synovial des organes respiratoires ou intrathoraciques,category,2B5A,http://id.who.int/icd/release/11/2024-01/mms/40635646,
02,2B5A.Y,"Autres sarcome synovial, localisation primitive",category,2B5A,http://id.who.int/icd/release/11/2024-01/mms/644500343/other,
02,2B5A.Z,"Sarcome synovial, localisation primitive, sans précision",category,2B5A,http://id.who.int/icd/release/11/2024-01/mms/644500343/unspecified,
02,2B5B,"Tumeur stromale gastro-intestinale, localisation primitive",category,,http://id.who.int/icd/release/11/2024-01/mms/819644414,"Il s'agit d'une tumeur mésenchymateuse bénigne qui se développe à partir des cellules qui tapissent le tube gastrointestinal. Elle est généralement positive sur le plan immunohistochimique pour CD117 (KIT), ce qui correspond phénotypiquement à la différenciation des cellules de Cajal, et la plupart des exemples contiennent des mutations activatrices de KIT- ou de PDGFRA-. Elle est plus fréquente dans l'estomac et, à un moindre degré, dans l'intestin grêle. Le pronostic dépend de la taille de la tumeur et de l’activité mitotique."
02,2B5B.0,Tumeur stromale gastro-intestinale de l'estomac,category,2B5B,http://id.who.int/icd/release/11/2024-01/mms/468657126,"Tumeur stromale gastro-intestinale provenant de l'estomac. Elle recouvre un spectre de néoplasies mésenchymateuses bénignes à malignes et comprend la plupart des tumeurs des muscles lisses de l'estomac, les léiomyoblastomes et les tumeurs préalablement appelées tumeurs du nerf autonome gastro-intestinal."
02,2B5B.1,Tumeur stromale gastro-intestinale de l'intestin grêle,category,2B5B,http://id.who.int/icd/release/11/2024-01/mms/319870485,Tumeur stromale gastrointestinale provenant de l'intestin grêle. Elle affecte généralement les adultes de plus de 50 ans. La majorité des cas présente une morphologie à cellules fusiformes. Le pronostic dépend de la taille de la tumeur et de l’activité mitotique.
02,2B5B.Y,"Autres tumeur stromale gastro-intestinale, localisation primitive",category,2B5B,http://id.who.int/icd/release/11/2024-01/mms/819644414/other,
02,2B5B.Z,"Tumeur stromale gastro-intestinale, localisation primitive, sans précision",category,2B5B,http://id.who.int/icd/release/11/2024-01/mms/819644414/unspecified,
02,2B5C,"Sarcome stromal endométrial, localisation primitive",category,,http://id.who.int/icd/release/11/2024-01/mms/990494080,"Tumeur mésenchymateuse maligne, infiltrante, qui se développe dans le corps utérin, le col de l'utérus, le vagin et l'ovaire. Selon ses caractéristiques morphologiques, elle est considérée comme un sarcome stromal de bas grade ou comme un sarcome indifférencié (de haut grade). Le sarcome stromal endométrioïde de bas grade se caractérise par la présence de cellules ovales à fusiformes qui ressemblent aux cellules du stroma endométrial, sans manifestations importantes d’atypie ou e pléomorphisme. De nombreux petits vaisseaux sont par ailleurs présents. Le sarcome stromal indifférencié se caractérise par une évolution clinique agressive, par la présence d'atypies cellulaires importantes et de pléomorphisme, et par une forte activité mitotique."
02,2B5D,"Tumeur maligne mixte mésenchymateuse et épithéliale, localisation primitive",category,,http://id.who.int/icd/release/11/2024-01/mms/1251935150,
02,2B5D.0,Tumeur maligne mixte mésenchymateuse et épithéliale de l'ovaire,category,2B5D,http://id.who.int/icd/release/11/2024-01/mms/2072916704,"La tumeur mésenchymateuse mixte épithéliale maligne de l'ovaire est un néoplasme rare et très agressif survenant le plus souvent chez les femmes postménopausiques. Il se compose d'éléments adénocarcinomateux et sarcomateux, et en fonction des types de ces éléments, il peut être classé comme homologue ou hétérologue. Il a souvent un mauvais pronostic."
02,2B5D.1,Tumeur maligne mixte mésenchymateuse et épithéliale du corps de l'utérus,category,2B5D,http://id.who.int/icd/release/11/2024-01/mms/1532363988,"Néoplasme malin primitif du corps utérin caractérisé par la présence d'un composant épithélial et mésenchymateux. Cette catégorie comprend un carcinosarcome, un carcinofibrome et un adénosarcome."
02,2B5D.Y,"Autres tumeur maligne mixte mésenchymateuse et épithéliale, localisation primitive",category,2B5D,http://id.who.int/icd/release/11/2024-01/mms/1251935150/other,
