variable,coefficient,OR,IC95_bas,IC95_haut,p_value,significatif
"C(categorie_etiologique, Treatment(reference='Inconnue'))[T.Genetique]",-0.03692138480454545,0.9637518979147942,0.4560282578582929,2.03675475089307,0.9229582784958463,False
"C(categorie_etiologique, Treatment(reference='Inconnue'))[T.Immune]",1.1790022920063135,3.2511289069310636,0.6010571122142395,17.585415686280545,0.1710293735471734,False
"C(categorie_etiologique, Treatment(reference='Inconnue'))[T.Infectieuse]",0.3621005003587488,1.4363432877225324,0.35146527825494106,5.869945533251462,0.6141612786162927,False
"C(categorie_etiologique, Treatment(reference='Inconnue'))[T.Metabolique]",-0.046214938629397455,0.9548367088395715,0.3034603659186683,3.004389511584312,0.93701683131111,False
"C(categorie_etiologique, Treatment(reference='Inconnue'))[T.Structurelle]",0.3231318416162272,1.3814474711671831,0.6695677162067907,2.85019284741741,0.38187162381770334,False
C(developpement_psychomoteur_avant_crises)[T.Retard],0.14984503536616148,1.1616542134597228,0.6187121811338819,2.1810472668821177,0.6410684150275181,False
age_debut_crises_mois,-0.004699884046442187,0.9953111431263411,0.9896467127100099,1.0010079949831008,0.10653099444409139,False
frequence_normalisee_mois,0.009583970825461778,1.0096300441446733,0.9914059245640496,1.0281891612538168,0.30242810999477976,False
